ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
40  ,RUSKIN ST ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations on the 2nd floor of a 6 storey institutional building (Ottawa Heart Institute),0.0,812506.0,100.0,2300001.0,Construction,2023-01-03 08:59:19
2000  ,MERIVALE RD ,K2G1G6,Ward 9,4M-,25,CONTRACTOR UNKNOWN,Institutional,Nepean,Exterior/interior alterations to a 1 storey institutional building (St Monica Catholic School),0.0,500000.0,11248.29,2300002.0,Construction,2023-01-03 09:21:39
307 B ,AMIENS ST ,,Ward 1,25,80,"MCCROSTE, BRIAN",Single,Cumberland,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement) and remove and replace exterior basement entrance (rear yard),1.0,25000.0,740.0,2300003.0,Construction,2023-01-03 09:40:24
307  ,AMIENS ST ,K1E1N3,Ward 1,25,80,"MCCROSTE, BRIAN",Single,Cumberland,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement) and remove and replace exterior basement entrance (rear yard),1.0,25000.0,740.0,2300003.0,Construction,2023-01-03 09:40:24
174  ,MEADOWLANDS DR W,K2G2S6,Ward 8,348978,16,CRAWFORD SHEDS,Detached Garage/Shed,Nepean,Construct a detached garage (replace due to windstorm),0.0,30000.0,600.0,2300004.0,Construction,2023-01-03 09:40:29
50  ,RIDEAU ST ,K1N5W8,Ward 12,3922,1 to 10,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Tenant fit-up on the 3rd floor of a 4 storey retail building (Rideau Centre, Nike Unit 239)",0.0,547840.0,6673.0,2300005.0,Construction,2023-01-03 09:57:10
1408  ,LAURIN CRES ,K1E3H1,Ward 1,50M-88,8,CONTRACTOR UNKNOWN,Single,Cumberland,Interior alterations in the basement of a 2 storey detached dwelling,0.0,9000.0,322.90000000000003,2300006.0,Construction,2023-01-03 10:17:21
1456  ,CARRONBRIDGE CIR ,K2M0G6,Ward 23,4M-1383,,***CONTRACTOR***,Rowhouse,Kanata,Finish the basement in a 2 storey rowhouse,0.0,33179.58,714.0,2300007.0,Construction,2023-01-03 10:56:24
50  ,RIDEAU ST ,K1N5W8,Ward 12,,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,"Interior alterations on the 3rd floor of a 3 storey retail building (CF Rideau Centre, Unit # 374A, L'Occitane)",0.0,115000.0,812.67,2300009.0,Construction,2023-01-03 11:36:51
126  ,YORK ST ,K1N5T5,Ward 12,42482,21 - 23,CONTRACT FURNITURE SOURCE INC.,Apartment,Old Ottawa,EXCAVATION AND SHORING: Construct a 22 storey apartment building,0.0,0.0,0.0,2300010.0,Construction,2023-01-03 12:57:57
151  ,GEORGE ST ,K1N5T5,Ward 12,42482,21 - 23,CONTRACT FURNITURE SOURCE INC.,Apartment,Old Ottawa,EXCAVATION AND SHORING: Construct a 22 storey apartment building,0.0,0.0,0.0,2300010.0,Construction,2023-01-03 12:57:57
5  ,REGAL CRES ,K0A2Z0,Ward 21,4M-784,64,CONTRACTOR UNKNOWN,Single,Goulbourn,Interior alterations to a 1 storey detached dwelling,0.0,15000.0,53.82,2300012.0,Construction,2023-01-03 14:08:28
2571  ,LANCASTER RD ,K1B4L5,Ward 18,,25,"CHANDOS CONSTRUCTION, OTTAWA",Industrial,Old Ottawa,Construct a 1 storey industrial building (open air storage bldg),0.0,708231.18,6350.71,2300013.0,Construction,2023-01-03 14:08:53
60  ,PALOMINO DR ,K2M1M2,Ward 23,4M-513,,CONTRACTOR UNKNOWN,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0.0,28114.35,605.0,2300014.0,Construction,2023-01-03 14:22:35
2571  ,LANCASTER RD ,K1B4L5,Ward 18,4M-,,"CHANDOS CONSTRUCTION, OTTAWA",Industrial,Old Ottawa,Construct a 1 storey industrial building (snow clearing platform),0.0,32627.41,292.57,2300015.0,Construction,2023-01-03 14:24:34
661  ,BIRCHLAND CRES ,K2S0S9,Ward 6,4M-1447,81,CONTRACTOR UNKNOWN,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0.0,11710.44,252.0,2300016.0,Construction,2023-01-03 14:29:24
66  ,HUNTSMAN CRES ,K2M1C4,Ward 23,M-183,220,CONTRACTOR UNKNOWN,Single,Kanata,Install a wood insert in a 2 storey detached dwelling,0.0,6000.0,0.0,2300017.0,Construction,2023-01-03 15:10:08
7  ,FURLONG CRES ,K2M2J1,Ward 23,4M-783,,CONTRACTOR UNKNOWN,Rowhouse,Kanata,Finish basement to a 2 storey rowhouse,0.0,28393.17,611.0,2300018.0,Construction,2023-01-03 15:19:42
40  ,RUSKIN ST ,K1Y4E9,Ward 15,135079,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations to a 5 storey institutional building (University of Ottawa, Heart Institute)",0.0,500000.0,1506.95,2300019.0,Construction,2023-01-03 15:31:52
5915  ,PERTH ST ,K0A2Z0,Ward 21,4M-,,CONTRACTOR UNKNOWN,Retail,Goulbourn,Interior alterations in a 1 storey retail building (Tim Hortons),0.0,340000.0,1700.7,2300020.0,Construction,2023-01-04 09:02:40
1  ,ANTARES DR ,K2E8C4,Ward 9,4M-,27,CONTRACTOR UNKNOWN,Office,Nepean,"Interior alterations on the 2nd, 3rd and 5th floor of a 5 storey office building",0.0,148272.0,3692.02,2300021.0,Construction,2023-01-04 09:17:29
25  ,CREMONA CRES ,K2G0Z9,Ward 9,4M-,86,***CONTRACTOR***,Single,Nepean,Construct an attached garage on a 1 storey detached dwelling,1.0,25000.0,600.0,2300022.0,Construction,2023-01-04 09:42:02
246  ,BYRON AVE ,K1Z6Y8,Ward 15,397,41-42,REVAL CONSTRUCTION INC.,Detached Garage/Shed,Old Ottawa,Construct a detached garage (rear yard),0.0,75000.0,510.0,2300023.0,Construction,2023-01-04 09:47:29
34  ,LIPSTAN AVE ,K2E5Z3,Ward 9,310509,68,JMS CUSTOM RENOVATIONS,Single,Nepean,Interior alterations in a 1 storey detached dwelling,0.0,40000.0,0.0,2300024.0,Construction,2023-01-04 09:52:37
22  ,SHIREGREEN DR ,K2J3N4,Ward 3,4M-602,,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0.0,8500.0,0.0,2300026.0,Construction,2023-01-04 10:00:10
16  ,TYRRELL PL ,K2H9C2,Ward 8,4M-385,5-6,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0.0,15000.0,0.0,2300027.0,Construction,2023-01-04 10:04:39
174  ,RUSSELL AVE ,K1N7X4,Ward 12,81868,27,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey addition (rear yard) to a 3 storey semi-detached dwelling with a secondary dwelling unit,1.0,241631.0,1300.0,2300028.0,Construction,2023-01-04 10:07:12
2618  ,"ST-JOSEPH, BOUL  ",K1C1G3,Ward 2,86,"26, PT LOT 27",PREMIERE CONSTRUCTION LTD,Office,Gloucester,Interior alterations in a 2 storey office building (Building B),0.0,60000.0,1259.38,2300029.0,Construction,2023-01-04 10:32:57
5921  ,PERTH ST ,K0A2Z0,Ward 21,4M-,,CONTRACTOR UNKNOWN,Retail,Goulbourn,"Tenant fit-up to a 1 storey retail building (Unit CRUB52, Shinybud)",0.0,60000.0,1399.31,2300030.0,Construction,2023-01-04 10:33:54
172  ,RUSSELL AVE ,K1N7X4,Ward 12,81868,27,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct a 3 storey addition (rear yard) to a 3 storey semi-detached dwelling,0.0,239772.3,1290.0,2300031.0,Construction,2023-01-04 10:46:15
110  ,MORTON DR ,K2L1X3,Ward 23,896,1101,LAURA HANDS DESIGN,Detached Garage/Shed,Kanata,Construct a detached garage (rear yard),0.0,35000.0,400.0,2300032.0,Construction,2023-01-04 11:08:16
1698  ,KINGSDALE AVE ,K1T1H6,Ward 10,326,667-668,CONTRACTOR UNKNOWN,Single,Gloucester,Exterior alterations to a 2 storey detached dwelling (Construct covered exterior basement stairs),0.0,20000.0,75.0,2300033.0,Construction,2023-01-04 11:27:43
2607  ,RIVER MIST RD ,K2J6W2,Ward 3,4M-,,CONTRACTOR UNKNOWN,Single,Nepean,Finish the basement in a 3 storey detached dwelling,0.0,13000.0,577.0,2300034.0,Construction,2023-01-04 12:33:06
1750  ,RUSSELL RD ,K1G5Z6,Ward 18,,"14,15",CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior alterations to a 2 storey institutional building (Perley Rideau Veteran's Home),0.0,60000.0,1.0,2300035.0,Construction,2023-01-04 12:40:10
450  ,KANATA AVE ,K2T1K5,Ward 4,4M-921,,NATIONAL PROJECTS CANADA INC.,Retail,Kanata,Tenant fit up on the 1st floor of a 1 storey retail building ( H&R Block ),0.0,12000.0,930.0,2300036.0,Construction,2023-01-04 13:01:18
1570  ,LIVERPOOL CRT ,K1B4L2,Ward 18,,26,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,PLUMBING ONLY- Install a backflow prevention device on the domestic water supply of a 1 storey industrial building,0.0,8000.0,0.0,2300037.0,Construction,2023-01-05 08:37:11
2650  ,QUEENSVIEW DR ,K2B8H6,Ward 7,372212,PT LOTS 325 AND 326,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations in a 2 storey office building,0.0,200000.0,4438.0,2300038.0,Construction,2023-01-05 10:42:12
609 B ,MUTUAL ST ,,Ward 13,659,E PT LOT 6,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct secondary dwelling units in a 1 storey semi-detached dwelling (basement on each side),2.0,200000.0,1720.0,2300039.0,Construction,2023-01-05 11:16:04
609  ,MUTUAL ST ,K1K1C3,Ward 13,659,E PT LOT 6,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct secondary dwelling units in a 1 storey semi-detached dwelling (basement on each side),2.0,200000.0,1720.0,2300039.0,Construction,2023-01-05 11:16:04
611 B ,MUTUAL ST ,,Ward 13,659,E PT LOT 6,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct secondary dwelling units in a 1 storey semi-detached dwelling (basement on each side),2.0,200000.0,1720.0,2300039.0,Construction,2023-01-05 11:16:04
611  ,MUTUAL ST ,K1K1C3,Ward 13,659,E PT LOT 6,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Construct secondary dwelling units in a 1 storey semi-detached dwelling (basement on each side),2.0,200000.0,1720.0,2300039.0,Construction,2023-01-05 11:16:04
16  ,MORRIS ST ,K1S4A7,Ward 17,44,PT LOT 22,CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Construct a shed (rear yard),0.0,10000.0,240.0,2300041.0,Construction,2023-01-05 11:58:22
1  ,BILLINGHAM CRES ,K2K2T7,Ward 4,4M-870,12,CONTRACTOR UNKNOWN,Single,Kanata,Alterations to repair fireplace and chimney supports in a 2 storey detached dwelling,0.0,5000.0,0.0,2300042.0,Construction,2023-01-05 13:03:27
292  ,"MONTREAL, CH DE  ",K1L6B7,Ward 12,238,13,CONTRACTOR UNKNOWN,Office,Vanier,PLUMBING ONLY - To install a Premise Isolation Backflow Prevention Device on the domestic water service,0.0,20000.0,25.0,2300043.0,Construction,2023-01-05 14:20:11
43 A ,IVY CRES ,K1M1Y1,Ward 13,68,38,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 1 storey addition (rear yard) and interior alterations to a 3 storey detached dwelling,0.0,67187.0,2280.0,2300045.0,Construction,2023-01-05 14:39:57
410  ,RICHARDSON AVE ,K2B5G8,Ward 7,305,82,CONTRACTOR UNKNOWN,Duplex,Old Ottawa,Interior alterations to a 2 storey duplex (add a second kitchen in attic of upper unit),0.0,6000.0,100.0,2300046.0,Construction,2023-01-05 14:53:39
110  ,CROFTERS GROVE ,K0A1T0,Ward 5,M-290,4,TOP HAT HOME COMFORT SERVICES,Single,West Carleton,Install a wood stove,0.0,4500.0,0.0,2300047.0,Construction,2023-01-05 15:03:36
130  ,BANNING RD ,K2L1C4,Ward 23,"773_x000D_
",,CONTRACTOR UNKNOWN,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0.0,27882.0,600.0,2300048.0,Construction,2023-01-05 15:13:27
2114  ,BEL-AIR DR ,K2C0W9,Ward 8,,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,"Construct a 2 Storey Rowhouse with attached garages  Models: The Lawrence Unit E 2016,The Minden 2017 F1,The Minden 2017 F2,The Minden 2017 F1,The Lawrence Unit E 2016",5.0,1124235.0,8644.0,2300049.0,Construction,2023-01-06 09:02:51
2116  ,BEL-AIR DR ,K2C0W9,Ward 8,,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,"Construct a 2 Storey Rowhouse with attached garages  Models: The Lawrence Unit E 2016,The Minden 2017 F1,The Minden 2017 F2,The Minden 2017 F1,The Lawrence Unit E 2016",5.0,1124235.0,8644.0,2300049.0,Construction,2023-01-06 09:02:51
2118  ,BEL-AIR DR ,K2C0W9,Ward 8,,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,"Construct a 2 Storey Rowhouse with attached garages  Models: The Lawrence Unit E 2016,The Minden 2017 F1,The Minden 2017 F2,The Minden 2017 F1,The Lawrence Unit E 2016",5.0,1124235.0,8644.0,2300049.0,Construction,2023-01-06 09:02:51
2120  ,BEL-AIR DR ,K2C0W9,Ward 8,,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,"Construct a 2 Storey Rowhouse with attached garages  Models: The Lawrence Unit E 2016,The Minden 2017 F1,The Minden 2017 F2,The Minden 2017 F1,The Lawrence Unit E 2016",5.0,1124235.0,8644.0,2300049.0,Construction,2023-01-06 09:02:51
2122  ,BEL-AIR DR ,K2C0W9,Ward 8,,,UNIFORM URBAN DEVELOPMENTS LTD.,Rowhouse,Old Ottawa,"Construct a 2 Storey Rowhouse with attached garages  Models: The Lawrence Unit E 2016,The Minden 2017 F1,The Minden 2017 F2,The Minden 2017 F1,The Lawrence Unit E 2016",5.0,1124235.0,8644.0,2300049.0,Construction,2023-01-06 09:02:51
816  ,MELWOOD AVE ,K2A3C3,Ward 7,498,38,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey detached dwelling,-1.0,27275.0,-1076.0,2300050.0,Demolition,2023-01-06 09:19:05
1076 B ,RICHARD AVE ,,Ward 17,527,PT LOT 35,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1.0,35000.0,775.0,2300051.0,Construction,2023-01-06 09:23:09
1076  ,RICHARD AVE ,K1H8C4,Ward 17,527,PT LOT 35,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1.0,35000.0,775.0,2300051.0,Construction,2023-01-06 09:23:09
145 B ,ROBIN EASEY AVE ,,Ward 3,4M1656,83,CONTRACTOR UNKNOWN,Single,Nepean,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1.0,45000.0,812.0,2300052.0,Construction,2023-01-06 09:31:05
145  ,ROBIN EASEY AVE ,K2J6V4,Ward 3,4M1656,83,CONTRACTOR UNKNOWN,Single,Nepean,Construct a secondary dwelling unit in a 2 storey detached dwelling (basement),1.0,45000.0,812.0,2300052.0,Construction,2023-01-06 09:31:05
1986  ,LEJEUNE DR ,K4A3K2,Ward 1,50M-199,45,MULTI CABINETS & MILLWORK INC,Single,Cumberland,Interior alterations on the 1st floor of a 2 storey detached dwelling (remove load bearing wall),0.0,8000.0,36.0,2300053.0,Construction,2023-01-06 09:36:42
9  -7,MAJESTIC DR ,K2G1C5,Ward 9,4M-,,CONTRACTOR UNKNOWN,Rowhouse,Nepean,Interior alterations in a 2 storey rowhouse dwelling,0.0,20000.0,592.0,2300054.0,Construction,2023-01-06 09:54:29
72  ,AVONLEA RD ,K2G0J5,Ward 9,4M-,162,CONTRACTOR UNKNOWN,Single,Nepean,"Construct an addition, an attached garage and interior alterations in a 1 storey detached dwelling",0.0,321039.32,1200.0,2300055.0,Construction,2023-01-06 10:05:17
296  ,ELDERBERRY TERR ,K1E1Z1,Ward 1,50M-15,PT LOT 42,CONTRACTOR UNKNOWN,Single,Cumberland,Construct a secondary dwelling unit in the basement of a 1 storey detached dwelling,1.0,30000.0,969.0,2300056.0,Construction,2023-01-06 10:35:08
105  ,DAGENHAM ST ,K2S2N4,Ward 6,4M-1619,70,CONTRACTOR UNKNOWN,Single,Goulbourn,Interior alterations to ground floor mudroom of a 2 storey detached dwelling,0.0,3220.5,0.0,2300057.0,Construction,2023-01-06 10:44:16
883 B ,PLEASANT PARK RD ,,Ward 18,707,37,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in the basement of a 2 storey detached dwelling,1.0,5000.0,914.93,2300058.0,Construction,2023-01-06 10:59:56
436  ,RICHMOND RD ,K2A1H4,Ward 15,179,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations on the ground floor of a 10 storey mixed use building (Meal Prep Ottawa),0.0,30000.0,716.0,2300059.0,Construction,2023-01-06 14:23:50
6709  ,STANMORE ST ,K4P1G7,Ward 20,,6,CAMPBELL POOLS INC.,Single,Osgoode,Install an enclosure for an inground pool and hot tub (rear yard),0.0,0.0,0.0,2300060.0,Pool Enclosure,2023-01-06 14:26:51
2400  -302,VIRGINIA DR ,K1H8L3,Ward 18,,,G LALONDE INC.,Apartment,Old Ottawa,Interior alterations on the 3rd floor of a 7 storey residential building (Unit 302 - remove wall),0.0,10000.0,100.0,2300061.0,Construction,2023-01-06 14:30:56
4  ,CLARET CRT ,K1V9C4,Ward 16,,117,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 1 storey addition to a 2 storey detached dwelling (rear yard),0.0,200000.0,1842.78,2300062.0,Construction,2023-01-06 14:37:07
2706  ,COWELL RD ,K0A2T0,Ward 21,4M-,2,CONTRACTOR UNKNOWN,Single,Rideau,Construct a 2 storey detached dwelling,1.0,372987.24,2580.4500000000003,2300063.0,Construction,2023-01-06 14:37:52
451  ,SMYTH RD ,K1H8L6,Ward 18,405,,CONTRACTOR UNKNOWN,Institutional,Old Ottawa,Interior/exterior alterations to a 1 storey industrial building (Roger Guindon Hall - Waste Storage Building),0.0,500195.0,800.0,2300064.0,Construction,2023-01-06 14:45:04
1346  ,BANK ST ,K1H7X9,Ward 17,,PT LOT 18,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey retail building,0.0,80000.0,-2911.0,2300065.0,Demolition,2023-01-06 15:24:48
1344  ,BANK ST ,K1H7X9,Ward 17,,PT LOT 18,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey retail building (above grade only),0.0,80000.0,-6475.0,2300066.0,Demolition,2023-01-06 15:26:06
36  ,WEST HERRINGTON CRT ,K2H5N7,Ward 7,,415,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations to 1 storey dwelling,0.0,8000.0,1400.0,2300067.0,Construction,2023-01-06 15:49:33
235  ,FALSETTO ST ,K1C7G4,Ward 19,,,CAIVAN (RENAUD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: TH2502 2020 B,TH2501 2020 B,TH2501E 2019 B,TH2504C 2020 B",4.0,820938.0,6312.0,2300068.0,Construction,2023-01-09 09:24:10
237  ,FALSETTO ST ,K1C7G4,Ward 19,,,CAIVAN (RENAUD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: TH2502 2020 B,TH2501 2020 B,TH2501E 2019 B,TH2504C 2020 B",4.0,820938.0,6312.0,2300068.0,Construction,2023-01-09 09:24:10
239  ,FALSETTO ST ,K1C7G4,Ward 19,,,CAIVAN (RENAUD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: TH2502 2020 B,TH2501 2020 B,TH2501E 2019 B,TH2504C 2020 B",4.0,820938.0,6312.0,2300068.0,Construction,2023-01-09 09:24:10
241  ,FALSETTO ST ,K1C7G4,Ward 19,,,CAIVAN (RENAUD) INC.,Rowhouse,Gloucester,"Construct a 2 Storey Rowhouse with attached garages  Models: TH2502 2020 B,TH2501 2020 B,TH2501E 2019 B,TH2504C 2020 B",4.0,820938.0,6312.0,2300068.0,Construction,2023-01-09 09:24:10
78  ,BEECHWOOD AVE ,K1L8B2,Ward 12,101,10-11,CONTRACTOR UNKNOWN,Apartment,Vanier,Partial Permit - Construct a 9 storey apartment building on a 2 level underground parking garage [227 residential units & ground floor retail],0.0,37526895.95,231005.0,2300069.0,Construction,2023-01-09 09:29:43
25  ,ROCHESTER ST ,K1R7V8,Ward 14,13,PT LOTS 8 & 9,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Exterior repairs to a 3 storey rowhouse (replace existing deck foundations),0.0,80000.0,1076.0,2300070.0,Construction,2023-01-09 09:42:49
713  ,"MONTREAL, CH DE  ",K1K0T2,Ward 13,,"24,25",CONTRACTOR UNKNOWN,Institutional,Old Ottawa,"Interior alterations in the basement and 1st floor of a 6 storey hospital (Montfort Hospital, Cafeteria)",0.0,150000.0,645.84,2300071.0,Construction,2023-01-09 11:25:20
270  ,BYRON AVE ,K1Z6Y9,Ward 15,186,,PELOSO CONSTRUCTION COMPANY LIMITED,Apartment,Old Ottawa,Construct a unit in the basement of a 3 storey triplex,1.0,29619.3,987.31,2300072.0,Construction,2023-01-09 11:25:26
1865  ,FAIRMEADOW CRES ,K1H7B8,Ward 18,793,4,ARTIUM DESIGN BUILD INC,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling (primary bedroom and ensuite),0.0,20000.0,248.0,2300073.0,Construction,2023-01-09 11:57:23
805  ,BELFAST RD ,K1G0Z4,Ward 18,725,,HONEY CONSTRUCTION MANAGEMENT LTD,Industrial,Old Ottawa,Interior alterations to a 2 storey OLRT Maintenance building (MSF reception area),0.0,28909.0,322.92,2300076.0,Construction,2023-01-09 14:34:07
311  ,DALHOUSIE ST ,K1N7E8,Ward 12,42482,PT LOT 18,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations to a 3 storey mixed-use building to create 5 apartments and 1 new retail space,3.0,50000.0,4161.2,2300077.0,Construction,2023-01-09 15:10:26
1531  ,STITTSVILLE MAIN ST ,K2S1P1,Ward 6,4M-,,CONTRACTOR UNKNOWN,Retail,Goulbourn,Tenant fit up to 1st floor of 4 storey retail building (Unit 107),0.0,49258.2,1060.0,2300078.0,Construction,2023-01-09 15:11:13
29  ,CIVIC PL ,K1Y2E1,Ward 15,171960,"114 N, PT LOT 115",CONTRACTOR UNKNOWN,Single,Old Ottawa,Finish the basement in a 2 storey detached dwelling,0.0,27510.24,592.0,2300082.0,Construction,2023-01-10 08:44:59
280  ,SLATER ST ,K1A0G7,Ward 14,3922,31-35,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 5th floor of an 18 storey office building,0.0,235050.0,0.0,2300083.0,Construction,2023-01-10 08:50:04
1295  ,SURREY AVE ,K1V6S8,Ward 16,4M-,,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1.0,60000.0,900.0,2300084.0,Construction,2023-01-10 08:52:11
90  ,VIEWMOUNT DR ,K2G3C3,Ward 8,419808,236,MASTERPIECE CONSTRUCTION,Single,Nepean,Construct a secondary dwelling unit in a 1 storey detached dwelling (basement),1.0,60000.0,870.0,2300086.0,Construction,2023-01-10 09:09:40
1318  ,FIELD ST ,K2C2R4,Ward 8,341791,1,CONTRACTOR UNKNOWN,Detached Garage/Shed,Old Ottawa,Construct a detached garage,0.0,80000.0,323.0,2300087.0,Construction,2023-01-10 09:44:22
896  ,SNOWDROP CRES ,K1T0G8,Ward 22,4M-1676,68V,TAMARACK HOMES,Single,Gloucester,Construct a 2 Storey Single with attached garage  Model: M3825 (2022) Payton II Modern - Standard,1.0,449989.0,2691.0,2300088.0,Construction,2023-01-10 09:59:25
7548  ,FALLOWFIELD RD ,K2S1B8,Ward 21,,12,CONTRACTOR UNKNOWN,Other,Goulbourn,TEMPORARY PERMIT:  Erect a temporary tent for a special event (wedding),0.0,2000.0,1205.56,2300089.0,Construction,2023-01-10 10:08:11
1431  ,MERIVALE RD ,K2E0B9,Ward 9,4M-,"1-8, 15-16",CONTRACTOR UNKNOWN,Office,Nepean,Interior alterations on the 2nd floor of a 3 storey office building (fire alarms),0.0,5000.0,0.0,2300090.0,Construction,2023-01-10 10:14:18
1021  ,CYRVILLE RD ,K1J7S3,Ward 11,4M-,PT LOTS 20 TO 23,CONTRACTOR UNKNOWN,Retail,Gloucester,"Exterior and interior alterations to a 1 storey retail building (Unit A009, base building work)",0.0,350000.0,5552.31,2300091.0,Construction,2023-01-10 13:17:51
57  ,MARLBOROUGH AVE ,K1N8E8,Ward 12,15632,,1470421 ONTARIO INC. O/A ACE BUILDING,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling (Embassy Senegal),-1.0,180000.0,-3229.0,2300092.0,Demolition,2023-01-10 13:23:37
265  ,CENTRUM BLVD ,K1E3X7,Ward 1,50M-165,,CONTRACTOR UNKNOWN,Retail,Cumberland,Tenant fit up to a 2 storey recreational building (Altitude Gym on the ground floor and bar on the 2nd floor),0.0,108380.0,10947.0,2300093.0,Construction,2023-01-10 14:15:13
63  ,STEEPLE HILL CRES ,K2R1G2,Ward 21,,21,GBI POOL SERVICES INC,Single,Nepean,Install an enclosure for an inground pool (rear yard),0.0,0.0,0.0,2300094.0,Pool Enclosure,2023-01-10 14:25:36
160  ,ERIC MALONEY WAY ,K1T0R1,Ward 22,4M1594,45,VISION 21 GENERAL CONTRACTING,Single,Gloucester,Finish the basement in a 2 storey detached dwelling,0.0,51117.0,1100.0,2300095.0,Construction,2023-01-10 15:11:36
1055  ,GREENBANK RD ,K2J6K8,Ward 24,4M-1046,,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit-up in a 1 storey retail building (Unit A3 - Massage Experts),0.0,255000.0,1700.0,2300096.0,Construction,2023-01-11 09:00:25
2940  ,BASELINE RD ,K2H9C7,Ward 8,4M-,35,CONTRACTOR UNKNOWN,Apartment,Nepean,SUPERSTRUCTURE ONLY: Construct a 10 storey apartment building [106 units],0.0,0.0,0.0,2300097.0,Construction,2023-01-11 09:47:15
885  ,MEADOWLANDS DR ,K2C1N6,Ward 16,,10,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit up on the 1st floor of a 5 storey office building (Unit 105),0.0,82065.0,1130.0,2300098.0,Construction,2023-01-11 11:39:11
53  ,ROSEDALE AVE ,K1S4T4,Ward 17,36,PT LOT 6,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior/exterior alterations to a 2 storey semi-detached dwelling,0.0,100000.0,2100.0,2300099.0,Construction,2023-01-11 11:54:58
55  ,ROSEDALE AVE ,K1S4T4,Ward 17,36,PT LOT 6,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Interior/exterior alterations to a 2 storey semi-detached dwelling,0.0,100000.0,2100.0,2300099.0,Construction,2023-01-11 11:54:58
495  ,PICCADILLY AVE ,K1Y0H7,Ward 15,,"88,89",CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a deck (rear yard),0.0,24000.0,212.0,2300100.0,Construction,2023-01-11 12:43:24
