ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
311,LONG ACRES ST ,K2M0H1,Ward 23,4M-1495,179,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Winfield 50-3 2016 Standard,1,456343,2729,1700001,Construction,2017-01-03 9:42
646,BRIDLEGLEN CRES ,K2M0H2,Ward 23,4M-1495,24,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 44-02 Byron 2015 Standard,1,423568,2533,1700002,Construction,2017-01-03 9:49
256,SUNNYRIDGE CRES ,K2M0H3,Ward 23,4M-1495,38,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Winfield 50-3 2016 Standard,1,456343,2729,1700003,Construction,2017-01-03 9:55
643,BRIDLEGLEN CRES ,K2M0H2,Ward 23,4M-1495,202,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Borden 50-2 2016 STD,1,541123,3236,1700004,Construction,2017-01-03 9:59
641,BRIDLEGLEN CRES ,K2M0H2,Ward 23,4M-1495,203,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Kenson 44-3 2016 STD,1,486777,2911,1700005,Construction,2017-01-03 10:02
639,BRIDLEGLEN CRES ,K2M0H2,Ward 23,4M-1495,204,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: 50-1 Elmhurst 2016 Std,1,475573,2844,1700006,Construction,2017-01-03 10:06
637,BRIDLEGLEN CRES ,K2M0H2,Ward 23,4M-1495,205,HN HOMES LIMITED PARTNERSHIP,Single,Kanata,Construct a 2 Storey Single with attached garage  Model: Kenson 44-3 2016 STD,1,486777,2911,1700007,Construction,2017-01-03 10:09
201,ROVER ST ,K2V0G2,Ward 6,4M-1551,96,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Goulbourn,Construct a 1 Storey Single with attached garage  Model: 43-7 Hamilton I 2014 A,1,207947,1399,1700008,Construction,2017-01-03 10:14
100,SHINNY AVE ,K2V0G5,Ward 6,4M-1551,115,DCR PHOENIX DEVELOPMENT CORPORATION LIMITED,Single,Goulbourn,Construct a 1 Storey Single with attached garage  Model: 43-7 Hamilton I 2014 A,1,207947,1399,1700009,Construction,2017-01-03 10:18
300,EAGLESON RD ,K2M1C9,Ward 23,773,,ENERTRON ELECTRIC,Retail,Kanata,Interior alterations in a  1 storey retail building (replacement of fire alarm components),0,18910,0,1700010,Construction,2017-01-03 10:55
58,FIFTH AVE ,K1S2M5,Ward 17,4M-57,7 8,ACTION RESTORATION,Semi - Detached,Old Ottawa,Exterior repairs to a 2 storey semi-detached dweling (Repair foundation and brick veneer),0,21000,300,1700011,Construction,2017-01-03 10:56
