ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
323,BESSERER ST ,K1N6B4,Ward 12,6,21,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations to a 3 storey low rise apartment (From 4 units to 5),1,"5,000",269,2400061,Construction,2024-01-05 14:00
126,FLORA ST ,K1R5R5,Ward 14,30,24,B.A DESIGN LTD,Single,Old Ottawa,PLUMBING ONLY: Install a premise isolation device on the domestic cold water supply of a 2 storey detached dwelling,0,"5,000",0,2400062,Construction,2024-01-05 14:36
395,SLATER ST ,K1R5Y7,Ward 14,,15-16,CONTRACTOR UNKNOWN,Mixed,Old Ottawa,EXCAVATION & SHORING ONLY: Construct a 36 storey mixed use building with 4 levels of underground parking,0,0,0,2400063,Construction,2024-01-05 14:54
1181,WILLOW BROOK WAY ,K4M1B6,Ward 20,4M-573,21,CONTRACTOR UNKNOWN,Single,Osgoode,Install a woodstove in a 2 storey detached dwelling (main floor),0,"5,900",0,2400064,Construction,2024-01-05 14:57
8555,CAMPEAU DR ,K2T0K5,Ward 4,4M-,,CONTRACTOR UNKNOWN,Retail,West Carleton,Tenant Fit-Up to a 1 storey retail building (Pandora Jewelry Unit 990),0,"450,000",1603,2400065,Construction,2024-01-08 9:29
129,BILLINGS AVE ,K1H5K8,Ward 18,4M-,16,CONTRACTOR UNKNOWN,Single,Old Ottawa,Demolish an attached garage and construct a 2 storey addition to a 1 storey detached dwelling (side yard),0,"232,692",1228,2400066,Construction,2024-01-08 9:30
90,DAMSELFLY WAY ,K2J6C4,Ward 3,4M1525,128,CONTRACTOR UNKNOWN,Single,Nepean,Finish basement in 2 storey detached dwelling,0,"33,464",720,2400067,Construction,2024-01-08 10:03
66 B ,GLYNN AVE ,K1K1S8,Ward 13,291,53,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an ADU in a 1 storey detached dwelling (basement),1,"8,000",800,2400068,Construction,2024-01-08 10:03
66,GLYNN AVE ,K1K1S8,Ward 13,291,53,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct an ADU in a 1 storey detached dwelling (basement),1,"8,000",800,2400068,Construction,2024-01-08 10:03
841,COMPANION CRES ,K0A2E0,Ward 21,,117,MINTO COMMUNITIES INC.,Single,Rideau,Construct a 2 Storey Single with attached garage  Model: Magnolia 4 2022 C,1,"555,193",2987,2400069,Construction,2024-01-08 10:09
150,CLARENCE ST ,K1N5P8,Ward 12,42482,21,CONTRACTOR UNKNOWN,Single,Old Ottawa,PLUMBING ONLY:  Replace lead pipe water service from meter to curb stop,0,"2,500",0,2400070,Construction,2024-01-08 10:31
843,COMPANION CRES ,K0A2E0,Ward 21,,116,MINTO COMMUNITIES INC.,Single,Rideau,Construct a 2 Storey Single with attached garage  Model: Rosewood 2022 C,1,"605,006",3255,2400071,Construction,2024-01-08 10:32
2,EVERGREEN DR ,K2H6C6,Ward 8,406391,519,CONTRACTOR UNKNOWN,Single,Nepean,Construct an addition (2nd floor) and interior alterations on a 2 storey detached dwelling,0,"283,044",2258,2400072,Construction,2024-01-08 11:03
48,CARLISLE CIR ,K0A1B0,Ward 21,4M-380,1,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a 1 storey addition and interior alterations to a 1 storey detached dwelling,0,"218,343",3325,2400073,Construction,2024-01-08 11:05
1011,SHOWMAN ST ,K0A2Z0,Ward 21,4M1711,166,CONTRACTOR UNKNOWN,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0,"20,000",646,2400074,Construction,2024-01-08 11:14
2918,PRINCE OF WALES DR ,K2C3H1,Ward 24,516,4,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations in a 2 storey detached dwelling,0,"75,000",1830,2400076,Construction,2024-01-08 11:35
547 B ,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
547,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
549 B ,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
549,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
551 B ,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
551,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
553 B ,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
553,MUTUAL ST ,K1K1C5,Ward 13,,74 75,CONTRACTOR UNKNOWN,Rowhouse,Old Ottawa,Construct a 2 storey block of 4 rowhouses with SDUs (basement),8,"762,500",8751,2400077,Construction,2024-01-08 12:19
641,BARRY HELMAN CRES ,K2J5S4,Ward 3,4M1513,146,,Single,Nepean,Finish the basement in a 2 storey detached dwelling,0,"34,016",732,2400078,Construction,2024-01-08 12:20
553,MUTUAL ST ,K1K1C5,Ward 13,300,74 75,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 2 storey detached dwelling,-1,"5,000",-2200,2400079,Demolition,2024-01-08 12:20
434,QUEEN ST ,K1R7V7,Ward 14,3922,25 PT LOT 24,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations on the 9th and 10th floors of a 10 storey office building (to create a 2 storey residential dwelling),1,"854,995",6448,2400080,Construction,2024-01-08 12:38
97,BALD EAGLE CRES ,K0A2Z0,Ward 21,4M1528,31,CONTRACTOR UNKNOWN,Single,Goulbourn,Finish the basement in a 1 storey detached dwelling,0,"69,705",1500,2400082,Construction,2024-01-08 12:51
90,ELGIN ST ,K1A0G5,Ward 14,3922,55-59,CONTRACTOR UNKNOWN,Office,Old Ottawa,Interior alterations to the 3rd floor in a 17 storey office building (Meeting room),0,"109,800",323,2400084,Construction,2024-01-08 12:59
10,RIDEAU ST ,K1N9H4,Ward 12,3922,"PT LOTS 1-10, 67-72",CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fitup on the 4th floor of an 8 storey office building (Neuf Architectes),0,"266,000",5619,2400085,Construction,2024-01-08 14:04
1074,GRENOBLE CRES ,K1C2C6,Ward 2,M204 S,48,CONTRACTOR UNKNOWN,Semi - Detached,Gloucester,Interior alterations to a 2 storey semi-detached dwelling (remove load-bearing wall),0,"5,000",15,2400086,Construction,2024-01-08 15:04
29,LORNE AVE ,K1R7G6,Ward 14,7,PT LOT 14,MEDINA GC INC.,Rowhouse,Old Ottawa,"Interior alterations to a 2 storey rowhouse (new plumbing throughout entire house, kitchen and bathroom reno, windows replacement)",0,"55,000",194,2400087,Construction,2024-01-08 15:04
1807,BELVAL CRES ,K1C6J5,Ward 2,4M-516,91,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a 2nd storey addition and interior alterations to a 2 storey detached dwelling,0,"74,672",278,2400088,Construction,2024-01-08 16:13
498,GUY ST ,K1K1C2,Ward 13,300,54-55,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey three-unit dwelling (bathroom renos only),0,"15,000",108,2400089,Construction,2024-01-09 8:42
502,GUY ST ,K1K1C2,Ward 13,300,54-55,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 2 storey three-unit dwelling (bathroom renos only),0,"15,000",108,2400089,Construction,2024-01-09 8:42
325,PRINCE ALBERT ST ,K1K1Z2,Ward 13,342,816-817,CONTRACTOR UNKNOWN,Semi - Detached,Old Ottawa,Exterior repairs to the foundation of a 2 storey semi-detached dwelling and replacement of rear yard deck/stairs,0,"20,000",75,2400090,Construction,2024-01-09 8:54
305,PLEASANT PARK RD ,K1H5M7,Ward 18,129,129,CONTRACTOR UNKNOWN,Single,Old Ottawa,PLUMBING ONLY: Install a sanitary backwater valve in a 1 storey detached dwelling,0,"5,000",0,2400091,Construction,2024-01-09 9:04
71,PINHEY ST ,K1Y1T5,Ward 15,105,8,CONTRACTOR UNKNOWN,Single,Old Ottawa,PLUMBING ONLY: Replacement of lead pipe water service from meter to curb stop,0,"2,500",0,2400092,Construction,2024-01-09 9:08
277,ELGIN ST ,K2P1M1,Ward 14,15558,08-Jul,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Interior alterations to the ground floor of a 2 storey retail building (Egg Club),0,"150,000",550,2400093,Construction,2024-01-09 9:12
13,HOWICK PL ,K1S3S4,Ward 17,57,5,THE FIREPLACE CENTER AND PATIO SHOP,Apartment,Old Ottawa,Install a wood burning fireplace on the 3rd floor of a 3 storey triplex (Unit A - remove and replace),0,"13,598",22,2400094,Construction,2024-01-09 9:12
349,WARDEN AVE ,K1E1T5,Ward 1,27,56,***CONTRACTOR***,Single,Cumberland,Construct a secondary dwelling unit in the basement of a 1 storey detached dwelling,1,"30,000",975,2400095,Construction,2024-01-09 9:19
1729,WALKLEY RD ,K1V2P6,Ward 18,31,34-35,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Divide one Unit into 2 Units in a 1 storey retail building (unit A105 into A105 and A106),0,"95,000",2000,2400096,Construction,2024-01-09 10:00
400,INDUSTRIAL AVE ,K1G0Y9,Ward 18,560,41-53,CONTRACTOR UNKNOWN,Demolition,Old Ottawa,Demolish a 1 storey warehouse building,0,"800,000",-46284,2400097,Demolition,2024-01-09 10:28
899,AGES DR ,K1G6L3,Ward 10,4M-,2,MADDISON CONSTRUCTION LIMITED,Industrial,Old Ottawa,Interior alterations to a 1 storey warehouse (Unit B Converting to office),0,"639,000",4424,2400098,Construction,2024-01-09 10:39
20,CORDOVA ST ,K2G1N1,Ward 8,375,"1459, PT 1460-1463",773873 ONTARIO LIMITED,Demolition,Nepean,Demolish a 1 storey detached dwelling,-1,"750,000",-1636,2400099,Demolition,2024-01-09 11:08
312,ATHABASCA HTS ,,Ward 4,4M1570,,URBANDALE CONSTRUCTION,Single,Kanata,Construct a 1 storey detached dwelling,1,"395,162",2975,2400100,Construction,2024-01-09 11:17
54,PELHAM CRES ,K0A2Z0,Ward 21,4M1622,149,PTL CONTRACTING,Single,Goulbourn,Install an enclosure for a hot tub (rear yard),0,0,0,2400101,Pool Enclosure,2024-01-09 11:30
1771,WALKLEY RD ,K1V1L2,Ward 18,31,36,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Construct an addition and alterations to a 1 storey retail building (McDonalds),0,"319,224",2699,2400102,Construction,2024-01-09 14:12
125,ZAIDA EDDY PRIV ,K1R0E3,Ward 14,4R31176,,CONTRACTOR UNKNOWN,Office,Old Ottawa, Tenant fit-up in an 8 storey office building (8th floor),0,"3,869,000",22583,2400103,Construction,2024-01-09 14:29
2544,BANK ST ,K1T1M9,Ward 10,141,20,CONTRACTOR UNKNOWN,Commercial,Gloucester,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic cold water supply a 1 storey commercial building,0,"5,000",0,2400104,Construction,2024-01-09 14:46
201 B ,MAGPIE ST ,K1T0N4,Ward 22,4M1536,9,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a secondary dwelling unit in the basement of a 2 storey detached dwelling (with new entrance),1,"55,000",1200,2400106,Construction,2024-01-10 9:11
201,MAGPIE ST ,K1T0N4,Ward 22,4M1536,9,CONTRACTOR UNKNOWN,Single,Gloucester,Construct a secondary dwelling unit in the basement of a 2 storey detached dwelling (with new entrance),1,"55,000",1200,2400106,Construction,2024-01-10 9:11
