ST # ,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR ,BLG TYPE ,MUNICIPALITY ,DESCRIPTION,D.U.,VALUE,FT2,PERMIT#,APPL. TYPE,ISSUED DATE
230 B ,OSTERLEY WAY ,K2S2P3,Ward 6,4M1619,114,CONTRACTOR UNKNOWN,Single,Goulbourn,Construct a secondary dwelling unit in the basement of a 2 storey detached dwelling,0,"40,000",800,2400001,Construction,2024-01-02 10:26
1919,"ST-LAURENT, BOUL  ",K1G1A3,Ward 18,4M-,27,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Interior alterations to a 11 storey apartment building (replace generator serving emergency lighting and exit signs with battery emergency power system),0,"80,000",0,2400002,Construction,2024-01-02 10:46
10,COPE DR ,K2M0N2,Ward 23,4M-,,CONTRACTOR UNKNOWN,Commercial,Kanata,Interior Alterations to a 1 storey retail building (Metro grocery store),0,"120,000",323,2400003,Construction,2024-01-02 11:15
2927,HIGHFIELD CRES ,K2B6G4,Ward 7,298405,"PT LOT 14,15",CONTRACTOR UNKNOWN,Single,Old Ottawa,Exterior alterations to a 1 storey detached dwelling (remove attached garage),0,"10,000",0,2400004,Construction,2024-01-02 11:33
15,MURRAY ST ,K1N9M5,Ward 12,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Repairs to underground parking of a 4 storey residential condominium building,0,"283,695",0,2400005,Construction,2024-01-02 11:39
35,MURRAY ST ,K1N9M5,Ward 12,4M-,,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,Repairs to underground parking of a 4 storey residential condominium building,0,"283,695",0,2400005,Construction,2024-01-02 11:39
6183,HERITAGE PARK CRES ,K1C7G8,Ward 2,543,1,OAKWOOD DESIGNERS & BUILDERS,Rowhouse,Gloucester,Interior Alterations to a 2 storey townhouse,0,"25,000",432,2400006,Construction,2024-01-02 11:41
232,CALVINGTON AVE ,K2T0P9,Ward 4,4M1680,11,CONTRACTOR UNKNOWN,Single,Kanata,Finish the basement in a 2 storey detached dwelling,0,"23,009",495,2400007,Construction,2024-01-02 11:41
5649,POWER RD ,K1G3N4,Ward 20,4M-,,CONTRACTOR UNKNOWN,Mixed,Gloucester,PLUMBING ONLY - Install a premise isolation on a domestic cold water supply in a 1 storey commercail building,0,"5,000",0,2400008,Construction,2024-01-02 13:08
31,GORDON ST ,K1S4C6,Ward 17,33446,PT LOT 5,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2nd storey addition and balcony in a 2 storey detached dwelling,0,"33,234",125,2400009,Construction,2024-01-02 13:40
3751,"ST-JOSEPH, BOUL  ",K4A0Z7,Ward 1,,31,"ELIAS, WISSAM",Single,Cumberland,PLUMBING ONLY: Install a back flow prevention device in an office walk-up,0,"10,000",100,2400010,Construction,2024-01-02 13:59
570,WEST HUNT CLUB RD ,K2G3R4,Ward 9,4M-601,,CONTRACTOR UNKNOWN,Institutional,Nepean,Interior alterations to a 2 storey office/assembly building (Catholic Education Centre),0,"53,000",107,2400011,Construction,2024-01-02 14:29
1368,CHICORY PL ,K1J1E7,Ward 11,4M-994,5,CONTRACTOR UNKNOWN,Single,Gloucester,Alterations to remove and replace windows in a 1 storey detached dwelling,0,"2,600",55,2400012,Construction,2024-01-02 14:43
697,CAPRICORN CIR ,K4M0J5,Ward 22,4M1470,,***CONTRACTOR***,Rowhouse,Gloucester,Install an enclosure for a hot tub(rear yard),0,0,0,2400013,Pool Enclosure,2024-01-03 8:39
836,SOMERSET ST W,K1R6R5,Ward 14,55,1,CONTRACTOR UNKNOWN,Retail,Old Ottawa,PLUMBING ONLY - Install a premise isolation device on the domestic water system of a 2 storey commercial building,0,"5,000",0,2400014,Construction,2024-01-03 9:56
508,GLADSTONE AVE ,K1R5P1,Ward 14,30,29 & PT LOTS 1&2,CONTRACTOR UNKNOWN,Retail,Old Ottawa,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic cold water supply of a 2 storey retail building,0,"10,000",0,2400015,Construction,2024-01-03 10:15
1370,TRIOLE ST ,K1B4T5,Ward 11,63,45,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY - Install a premise Isolation backflow prevention device to the cold water supply of a 1 storey office building,0,"4,300",0,2400016,Construction,2024-01-03 10:28
1568,MEADOWBROOK RD ,K1B3L5,Ward 11,,22,AZUL DESIGNS,Demolition,Gloucester,Demolish a 2 storey detached dwelling,-1,"4,000",-1500,2400017,Demolition,2024-01-03 10:30
22 B ,RIDEAU SHORE CRT ,K2C3Y8,Ward 9,4M-734,11,CONTRACTOR UNKNOWN,Single,Nepean,Construct a secondary dwelling in a 2 storey detached dwelling (basement),1,"74,200",1000,2400018,Construction,2024-01-03 10:32
22,RIDEAU SHORE CRT ,K2C3Y8,Ward 9,4M-734,11,CONTRACTOR UNKNOWN,Single,Nepean,Construct a secondary dwelling in a 2 storey detached dwelling (basement),1,"74,200",1000,2400018,Construction,2024-01-03 10:32
26,MCARTHUR AVE ,K1L6R2,Ward 12,239,66,CONTRACTOR UNKNOWN,Demolition,Vanier,Demolish a 1 storey detached dwelling,-1,"10,000",-1291,2400019,Demolition,2024-01-03 10:42
26,MCARTHUR AVE ,K1L6R2,Ward 12,239,66,CONTRACTOR UNKNOWN,Apartment,Vanier,Construct a 4 storey apartment building (12 Units),12,"2,157,579",11608,2400020,Construction,2024-01-03 10:43
2100,THURSTON DR ,K1G4K8,Ward 10,4M-,,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,PLUMBING ONLY - Install a premise isolation backflow prevention device on the cold water supply of a 1 storey industrial building,0,"2,500",0,2400021,Construction,2024-01-03 10:47
1997,MERIVALE RD ,K2G1G1,Ward 9,4M-,26,CONTRACTOR UNKNOWN,Retail,Nepean,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic water supply in a 1 storey retail building (Enterprise),0,"5,000",0,2400022,Construction,2024-01-03 10:53
355,ST. PATRICK ST ,K1N5K6,Ward 12,4M-,29,CONTRACTOR UNKNOWN,Office,Old Ottawa,PLUMBING ONLY: Install a premise isolation device on the domestic cold water supply in a 1 storey retail building,0,"5,000",0,2400023,Construction,2024-01-03 11:01
31,YORK ST ,K1N5S7,Ward 12,42482,5,116892 CANADA LTD,Mixed,Old Ottawa,Interior alterations to a 3 storey mixed use building (Install fire alarm system),0,"40,000",4306,2400024,Construction,2024-01-03 11:01
33,YORK ST ,K1N5S7,Ward 12,42482,5,116892 CANADA LTD,Mixed,Old Ottawa,Interior alterations to a 3 storey mixed use building (Install fire alarm system),0,"40,000",4306,2400024,Construction,2024-01-03 11:01
529,LEIMERK CRT ,K4M0E8,Ward 21,4M1441,15,XOLAR INC.,Single,Rideau,Install solar panels on the roof of a 2 storey detached dwelling,0,"47,000",6900,2400025,Construction,2024-01-03 11:10
1788,BANK ST ,K1V7Y6,Ward 17,31,"18, 19 IN, 22 RR",CONTRACTOR UNKNOWN,Commercial,Old Ottawa,PLUMBING ONLY: Install a backflow prevention device on the domestic cold water supply of a 1 retail building (Car wash),0,"5,000",0,2400026,Construction,2024-01-03 11:32
48,STIRLING AVE ,K1Y1P8,Ward 15,43,,"GAUTHIER, MARTIN",Duplex,Old Ottawa,Construct a deck (rear yard),0,"2,800",96,2400028,Construction,2024-01-03 13:05
42,DEXTER DR ,K2H5W2,Ward 9,510807,22,CONTRACTOR UNKNOWN,Single,Nepean,Interior alterations to a 2 storey detached dwelling (basement bathroom),0,"20,000",97,2400029,Construction,2024-01-03 13:11
18,HOPEWELL AVE ,K1S2Y8,Ward 17,115,7,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2nd storey addition and interior alterations to a 2 storey detached dwelling,0,"103,271",1459,2400030,Construction,2024-01-03 14:04
24,STEVENS AVE ,K1K1K5,Ward 13,4M-,21 E PT;LOT 22,***CONTRACTOR***,Single,Old Ottawa,Install a wood burning fire place (living room),0,"16,157",1,2400031,Construction,2024-01-03 14:27
180,ELGIN ST ,K2P2K3,Ward 14,2996,56-57,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit-up to the 14th and 15th floor of a 15 storey office building,0,"50,000",3000,2400032,Construction,2024-01-03 14:28
5734,HAZELDEAN RD ,K2S2R1,Ward 6,4M-,27,CONTRACTOR UNKNOWN,Retail,Goulbourn,Tenant fit up in a 1 storey retail building for retail pet store (Bright Eyes & Bushy Tails - Unit 3),0,"226,000",1819,2400033,Construction,2024-01-03 14:52
400,MAPLE GROVE RD ,K2V1B8,Ward 23,4R11955,1,TURNER CONSTRUCTION COMPANY,Industrial,Kanata,"Tenant fit up to modify exisiting office space (R&D Lab, clean room)",0,"1,377,533",3000,2400034,Construction,2024-01-03 15:51
595,BANK ST ,K1S3T4,Ward 17,46293 S,Part Lot 7,SSF ENGINEERING LTD,Industrial,Old Ottawa,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic water supply of a 2 storey commercial building,0,"5,000",0,2400035,Construction,2024-01-03 15:52
831,SENDERO WAY ,K2S2W8,Ward 6,4M1689,14,CONTRACTOR UNKNOWN,Single,Goulbourn,Finish the basement in a 2 storey detached dwelling,0,"25,559",550,2400036,Construction,2024-01-04 8:53
81  -27,AURIGA DR ,K2E7Y5,Ward 9,376,,CONTRACTOR UNKNOWN,Retail,Nepean,Tenant fit up on the first floor of a 2 storey retail building (Unit 27 - Jules Cakes),0,"40,000",840,2400037,Construction,2024-01-04 9:58
1460,MERIVALE RD ,K2E5P1,Ward 9,30,16-19,CONTRACTOR UNKNOWN,Commercial,Nepean,"Tenant fit-up in a 1 storey commercial building (Gwalia Sweets, Unit 4)",0,"80,000",4070,2400038,Construction,2024-01-04 10:21
8351,LOURDES WAY ,K0A2P0,Ward 20,4M-1141,22,CONTRACTOR UNKNOWN,Detached Garage/Shed,Osgoode,Construct a detached garage (front yard),0,"30,000",591,2400039,Construction,2024-01-04 10:28
64,STONEHAVEN DR ,K2M2Y2,Ward 23,4M665,,CONTRACTOR UNKNOWN,Retail,Kanata,Alterations to install new hood fan in a 1 storey retail building (Hurley's),0,"20,000",0,2400040,Construction,2024-01-04 10:46
592,DICKINSON AVE ,K1V7J4,Ward 16,776,477,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a secondary dwelling unit (basement) and interior alterations to 2 storey detached dwelling,1,"70,000",2200,2400041,Construction,2024-01-04 11:17
900,BANK ST ,K1S3W6,Ward 17,26085,PT LOT 24,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fitup on the 1st floor of a 9 storey apartment building (Unit 110 - Dental Clinic),0,"72,529",1561,2400042,Construction,2024-01-04 11:21
47,BUCKINGHAM PRIV ,K1V0K9,Ward 16,303,,SCHURMAN CONSTRUCTION,Rowhouse,Old Ottawa,Interior alterations to a 2 storey semi-detached dwelling (removal of kitchen wall),0,"51,775",0,2400043,Construction,2024-01-04 11:24
979,BANK ST ,K1S5K5,Ward 17,26085,"PT LOTS 20-22, 29",MB FORD CONSTRUCTION LTD.,Office,Old Ottawa,Tenant fitup on the 2nd floor of a 6 storey office building (Suite C),0,"150,000",3229,2400044,Construction,2024-01-04 11:41
1819,PRINCE OF WALES DR ,K2C1P2,Ward 16,,PT LOT 31,CONTRACTOR UNKNOWN,Single,Old Ottawa,Interior alterations to a 1 storey detached dwelling,0,"100,000",1000,2400045,Construction,2024-01-04 13:28
929,RICHMOND RD ,K2B6R1,Ward 7,,,CONTRACTOR UNKNOWN,Retail,Old Ottawa,Tenant fit-up on the 1st floor of a 20 storey apartment building (Unit 100 & 101 - IDA Pharmacy),0,"74,352",1600,2400046,Construction,2024-01-04 15:16
713,"MONTREAL, CH DE  ",K1K0T2,Ward 13,4M-,24-25,CONTRACTOR UNKNOWN,Industrial,Old Ottawa,Interior alterations to the ground floor of a 6 storey institutional building (Montfort Hospital),0,"800,000",2831,2400047,Construction,2024-01-04 15:49
797,KENNY GORDON AVE ,K4M0L6,Ward 20,,,CARDEL HOMES INC. OTTAWA DIVISION,Single,Gloucester,Construct 2 temporary links to 3 model homes and temporary sales offices,0,"14,560",208,2400048,Construction,2024-01-04 15:54
799,KENNY GORDON AVE ,K4M0L6,Ward 20,,,CARDEL HOMES INC. OTTAWA DIVISION,Single,Gloucester,Construct 2 temporary links to 3 model homes and temporary sales offices,0,"14,560",208,2400048,Construction,2024-01-04 15:54
801,KENNY GORDON AVE ,K4M0L6,Ward 20,,,CARDEL HOMES INC. OTTAWA DIVISION,Single,Gloucester,Construct 2 temporary links to 3 model homes and temporary sales offices,0,"14,560",208,2400048,Construction,2024-01-04 15:54
207,BELMONT AVE ,K1S0V9,Ward 17,116,12,OAKWOOD DESIGNERS & BUILDERS,Single,Old Ottawa,Interior alterations to a 2 storey detached dwelling,0,"20,000",90,2400049,Construction,2024-01-05 8:47
316  -310,SAVARD AVE ,K1L7S2,Ward 12,306,,CONTRACTOR UNKNOWN,Apartment,Vanier,Interior alterations in a 3 storey apartment building (Unit 310 - bathroom reno),0,"25,000",101,2400050,Construction,2024-01-05 9:01
683,WAVELL AVE ,K2A3A9,Ward 7,M29,851,OAKWOOD BUILDERS,Single,Old Ottawa,Interior alterations on the 2nd floor of a 2 storey detached dwelling (master bathroom reno),0,"30,000",120,2400051,Construction,2024-01-05 9:14
2111  -75,"MONTREAL, CH DE  ",K1J6M6,Ward 11,58,,CONTRACTOR UNKNOWN,Rowhouse,Gloucester,"Interior alterations to a 2 storey townhouse (Remove loadbearing walls, add main floor powder room and basement bathroom)",0,"75,000",300,2400052,Construction,2024-01-05 9:16
1362,MARIGOLD CRES ,K1B5E6,Ward 11,,,HAVEN BUILDING GROUP,Rowhouse,Gloucester,Interior/exterior repairs to a 2 storey rowhouse (water damage),0,"15,000",300,2400053,Construction,2024-01-05 9:21
10,DORIS AVE ,K1T3W8,Ward 10,4M-,,CONTRACTOR UNKNOWN,Single,Gloucester,"Interior alterations to a 2 storey detached dwelling (Main floor, Remove walls, and new washroom)",0,"50,000",753,2400054,Construction,2024-01-05 9:30
1101,BAXTER RD ,K2C3Z3,Ward 8,4M-,,CONTRACTOR UNKNOWN,Office,Old Ottawa,Tenant fit-up to a 2 storey office building (Unit 115 - Irish Dance Studio),0,"45,000",4499,2400055,Construction,2024-01-05 9:45
1642,MERIVALE RD ,K2G4A1,Ward 8,401392,31,CONTRACTOR UNKNOWN,Commercial,Nepean,Interior and exterior alterations to a 2 storey retail building (TD Bank),0,"225,000",238,2400056,Construction,2024-01-05 9:49
7406,BLEEKS RD ,K0A1B0,Ward 21,4M-,13,CONTRACTOR UNKNOWN,Single,Goulbourn,Interior alterations on the 2nd floor of a 2 storey detached dwelling (new bathroom layout),0,"16,000",140,2400057,Construction,2024-01-05 10:32
9,GURDWARA RD ,K2E7X6,Ward 9,4M-,27,CONTRACTOR UNKNOWN,Office,Nepean,Tenant fit-up to a 2 storey office building to create a new suite.,0,"132,000",4305,2400058,Construction,2024-01-05 11:47
325,SANDHILL RD ,K2K1X7,Ward 4,,10,CAPITAL BACKFLOW CORP,Institutional,Kanata,PLUMBING ONLY: Install a premise isolation backflow prevention device on the domestic cold water supply in a place of worship (St. John's Anglican Church),0,"5,000",0,2400059,Construction,2024-01-05 13:10
148,COLONNADE RD S,K2E7Y1,Ward 9,5R7186,29,CONTRACTOR UNKNOWN,Mixed,Nepean,Tenant fit-up on the 2nd floor of a 2 storey mixed use building (Unit 205),0,"80,000",123,2400060,Construction,2024-01-05 13:26
